,OFFENSE_CODE_GROUP,SHOOTING,MONTH,DAY_OF_WEEK,HOUR,Population density (per square mile of land area),BLDG_VAL,LAND_VAL,light_density,Lat,Long,latbin,longbin,light_count,graffiti_count
0,2,0,7,0,23,19926.9,560.4326834702033,189.33304983177882,1.0,42.34376458,-71.08866865,32.0,27.0,165.0,45.0
1,2,0,8,5,12,15871.3,4156.595899378442,36.813617614615566,0.6847597740969789,42.32075533,-71.09035419,26.0,26.0,103.0,40.0
2,2,0,7,3,5,24456.0,3738.859653588504,105.3781639862096,0.7830845452224167,42.32401179,-71.10892106,27.0,21.0,146.0,44.0
3,2,0,8,1,16,11553.7,121.16977811799609,34.318378613012825,0.5486102081019837,42.29095286,-71.04673586,17.0,39.0,0.0,3.0
4,2,0,8,0,18,19926.9,560.4326834702033,189.33304983177882,1.0,42.33865454,-71.08145687,31.0,29.0,151.0,84.0
5,2,0,4,4,17,15871.3,4156.595899378442,36.813617614615566,0.6847597740969789,42.31538436,-71.09870021,24.0,24.0,116.0,120.0
6,2,0,10,2,12,8352.4,2009.3176055943234,59.18511420917242,0.5256160811642326,42.39352862,-71.01158244,47.0,50.0,0.0,1.0
7,2,0,10,1,13,15913.2,1293.2300348978956,31.015854560044154,0.5685776635314201,42.29601397,-71.08085483,18.0,29.0,14.0,7.0
8,2,0,8,1,7,16236.4,1135.6418127681031,46.78040780488331,0.5745571799349198,42.35213193,-71.15358216,35.0,7.0,40.0,0.0
9,2,0,9,4,1,28541.5,62047.075800616505,297.43615339720776,0.8164952821742791,42.35074197,-71.06006135,35.0,35.0,0.0,1016.0
10,2,0,3,6,8,0.0,560.4326834702033,189.33304983177882,0.8940475017463096,42.359254,-71.059477,37.0,35.0,6.0,33.0
11,2,0,7,5,8,16212.0,2250.588502644263,63.55478322074623,0.5828930747285929,42.35170571,-71.11989956,35.0,17.0,2.0,56.0
12,2,0,8,0,8,14884.4,1040.9840961403406,31.260814914057196,0.6407326088748726,42.31139893,-71.09780893,23.0,24.0,97.0,5.0
13,2,0,4,0,8,24074.6,5490.16935804632,260.90547781802087,0.7288999865794336,42.33906366,-71.07000464,31.0,32.0,55.0,26.0
14,2,0,5,6,12,10617.5,1409.2454820303735,46.71120121565768,0.5292225781007307,42.31127465,-71.11448366,23.0,19.0,90.0,71.0
15,2,0,3,0,19,15913.2,1293.2300348978956,31.015854560044154,0.5685776635314201,42.28134252,-71.07584884,14.0,31.0,0.0,0.0
16,2,0,1,0,18,15913.2,1293.2300348978956,31.015854560044154,0.5685776635314201,42.29848866,-71.06313294,19.0,34.0,0.0,15.0
17,2,0,6,3,6,19926.9,560.4326834702033,189.33304983177882,1.0,42.34395226,-71.08990705,33.0,26.0,121.0,27.0
18,2,0,12,4,7,27919.1,8185.301729188343,779.1395233331713,0.8005967753310521,42.35816431,-71.06740395,37.0,33.0,26.0,57.0
19,2,0,8,0,13,9355.4,8151.292213918567,650.7175438616582,0.7674889068730018,42.35438252,-71.05213281,36.0,38.0,0.0,38.0
20,2,0,9,4,7,27919.1,8185.301729188343,779.1395233331713,0.8005967753310521,42.35883898,-71.06608613,37.0,33.0,26.0,57.0
21,2,0,4,3,2,16212.0,2250.588502644263,63.55478322074623,0.5828930747285929,42.35066171,-71.12850882,35.0,15.0,43.0,213.0
22,2,0,12,1,22,15871.3,4156.595899378442,36.813617614615566,0.6847597740969789,42.32103493,-71.06348926,26.0,34.0,0.0,12.0
23,2,0,8,1,1,26693.9,3362.723369137441,581.8827421171961,0.6991764355513952,42.36033524,-71.06636237,37.0,33.0,26.0,57.0
24,2,0,1,6,11,26693.9,3362.723369137441,581.8827421171961,0.6991764355513952,42.36243437,-71.0639181,38.0,34.0,54.0,45.0
25,2,0,11,1,16,12192.0,278.37751019157207,165.24973777655984,0.6789407791261824,42.37901498,-71.03920664,43.0,42.0,0.0,110.0
26,2,0,5,0,15,28541.5,62047.075800616505,297.43615339720776,0.8164952821742791,42.35106637,-71.06549569,35.0,34.0,0.0,128.0
27,2,0,11,4,15,24456.0,3738.859653588504,105.3781639862096,0.7830845452224167,42.32157928,-71.09846397,26.0,24.0,107.0,94.0
28,2,0,11,4,8,6206.9,455.6444470104271,21.07350673403725,0.43784853067139023,42.25716913,-71.12530617,7.0,16.0,0.0,5.0
29,2,0,1,4,17,11553.7,121.16977811799609,34.318378613012825,0.5486102081019837,42.30254239,-71.05956690000002,20.0,35.0,0.0,102.0
30,2,0,1,4,13,11553.7,121.16977811799609,34.318378613012825,0.5486102081019837,42.30092795,-71.05942982,20.0,35.0,0.0,102.0
31,2,0,1,2,15,14884.4,1040.9840961403406,31.260814914057196,0.6407326088748726,42.301974200000004,-71.08383388,20.0,28.0,42.0,17.0
32,2,0,5,3,2,32724.1,14799.401260239605,480.4638014892537,0.6565851463055634,42.34852918,-71.07805107,34.0,30.0,192.0,97.0
33,2,0,4,6,16,40159.2,8464.86398278871,333.3614354790615,0.7146064531602528,42.33611274,-71.10927826,30.0,21.0,281.0,117.0
34,2,0,6,1,20,16212.0,2250.588502644263,63.55478322074623,0.5828930747285929,42.35454234,-71.13508681,36.0,13.0,52.0,280.0
35,2,0,9,0,7,11553.7,121.16977811799609,34.318378613012825,0.5486102081019837,42.29588248,-71.05493309999999,18.0,37.0,0.0,13.0
36,2,0,8,3,12,24074.6,5490.16935804632,260.90547781802087,0.7288999865794336,42.33690201,-71.07871786,30.0,30.0,159.0,28.0
37,2,0,10,6,17,11553.7,121.16977811799609,34.318378613012825,0.5486102081019837,42.29032927,-71.05022411,17.0,38.0,0.0,0.0
