latbin,longbin,graffiti_count
23.0,37.0,36
23.0,38.0,15
23.0,39.0,12
23.0,40.0,1
24.0,18.0,5
24.0,19.0,5
24.0,20.0,126
24.0,21.0,2
24.0,22.0,54
24.0,23.0,103
24.0,24.0,120
24.0,25.0,16
24.0,26.0,9
24.0,27.0,10
24.0,28.0,3
24.0,29.0,8
24.0,30.0,7
24.0,31.0,2
24.0,33.0,15
24.0,34.0,21
24.0,35.0,13
24.0,36.0,53
24.0,37.0,18
24.0,38.0,5
24.0,39.0,2
24.0,42.0,1
25.0,19.0,18
25.0,20.0,59
25.0,21.0,18
25.0,22.0,42
25.0,23.0,72
25.0,24.0,30
25.0,25.0,50
25.0,26.0,4
25.0,27.0,8
25.0,28.0,12
25.0,29.0,13
25.0,30.0,22
25.0,31.0,7
25.0,33.0,13
25.0,34.0,60
25.0,35.0,5
25.0,36.0,30
25.0,37.0,29
25.0,38.0,30
25.0,40.0,3
25.0,42.0,1
25.0,43.0,1
26.0,17.0,6
26.0,18.0,7
26.0,19.0,17
26.0,20.0,72
26.0,21.0,110
26.0,22.0,20
26.0,23.0,15
26.0,24.0,94
26.0,25.0,1
26.0,26.0,40
26.0,27.0,9
26.0,28.0,5
26.0,29.0,29
26.0,30.0,20
26.0,31.0,1
26.0,32.0,11
26.0,33.0,16
26.0,34.0,12
26.0,35.0,13
26.0,36.0,21
26.0,37.0,29
26.0,38.0,4
26.0,40.0,2
27.0,19.0,1
27.0,20.0,41
27.0,21.0,44
27.0,22.0,74
27.0,23.0,71
27.0,24.0,10
27.0,25.0,44
27.0,26.0,15
27.0,27.0,39
27.0,28.0,6
27.0,29.0,15
27.0,30.0,5
27.0,31.0,31
27.0,32.0,33
27.0,33.0,28
27.0,34.0,1
27.0,35.0,8
27.0,36.0,31
27.0,37.0,11
27.0,38.0,2
28.0,20.0,15
28.0,21.0,31
28.0,22.0,24
28.0,23.0,49
28.0,24.0,87
28.0,25.0,18
28.0,26.0,21
28.0,27.0,44
28.0,28.0,37
28.0,29.0,37
28.0,30.0,25
28.0,31.0,33
28.0,32.0,31
28.0,33.0,21
28.0,34.0,5
28.0,36.0,16
28.0,37.0,11
28.0,38.0,7
28.0,39.0,2
29.0,20.0,169
29.0,21.0,97
29.0,22.0,84
29.0,23.0,126
29.0,24.0,127
29.0,25.0,62
29.0,26.0,57
29.0,27.0,28
29.0,28.0,27
29.0,29.0,123
29.0,30.0,13
29.0,31.0,14
29.0,32.0,14
29.0,33.0,16
29.0,34.0,2
29.0,35.0,5
29.0,36.0,10
29.0,37.0,34
29.0,38.0,13
29.0,39.0,5
29.0,40.0,8
29.0,41.0,5
29.0,42.0,2
29.0,43.0,4
29.0,44.0,4
29.0,45.0,3
30.0,4.0,1
30.0,9.0,2
30.0,20.0,8
30.0,21.0,117
30.0,22.0,86
30.0,23.0,199
30.0,24.0,17
30.0,26.0,8
30.0,27.0,3
30.0,28.0,24
30.0,29.0,17
30.0,30.0,28
30.0,31.0,58
30.0,32.0,5
30.0,34.0,1
30.0,36.0,11
30.0,37.0,12
30.0,38.0,26
30.0,39.0,20
30.0,40.0,33
30.0,41.0,21
30.0,42.0,14
30.0,43.0,7
30.0,44.0,9
30.0,45.0,3
30.0,46.0,3
31.0,7.0,3
31.0,8.0,9
31.0,9.0,46
31.0,10.0,11
31.0,21.0,11
31.0,22.0,1
31.0,23.0,2
31.0,24.0,43
31.0,25.0,48
31.0,26.0,11
31.0,27.0,1
31.0,28.0,56
31.0,29.0,84
31.0,30.0,222
31.0,31.0,217
31.0,32.0,26
31.0,33.0,4
31.0,34.0,2
31.0,36.0,13
31.0,37.0,4
31.0,38.0,29
31.0,39.0,68
31.0,40.0,12
31.0,41.0,19
31.0,42.0,6
31.0,43.0,5
31.0,44.0,7
31.0,45.0,4
31.0,50.0,3
32.0,4.0,1
32.0,6.0,1
32.0,7.0,10
32.0,8.0,23
32.0,9.0,35
32.0,10.0,66
32.0,11.0,36
32.0,12.0,4
32.0,21.0,9
32.0,22.0,8
32.0,23.0,45
32.0,24.0,131
32.0,25.0,128
32.0,26.0,45
32.0,27.0,45
32.0,28.0,146
32.0,29.0,139
32.0,30.0,185
32.0,31.0,172
32.0,32.0,72
32.0,33.0,85
32.0,34.0,15
32.0,35.0,21
32.0,36.0,51
32.0,37.0,79
32.0,38.0,38
32.0,39.0,5
32.0,42.0,4
33.0,7.0,2
33.0,8.0,6
33.0,9.0,1
33.0,10.0,1
33.0,11.0,42
33.0,12.0,71
33.0,13.0,30
33.0,22.0,55
33.0,23.0,51
33.0,24.0,165
33.0,25.0,187
33.0,26.0,27
33.0,27.0,531
33.0,28.0,129
33.0,29.0,120
33.0,30.0,162
33.0,31.0,175
33.0,32.0,133
33.0,33.0,161
33.0,34.0,251
33.0,35.0,37
33.0,36.0,28
33.0,37.0,3
33.0,38.0,5
33.0,41.0,3
34.0,3.0,2
34.0,4.0,9
34.0,5.0,14
34.0,6.0,26
34.0,7.0,25
34.0,8.0,46
34.0,9.0,13
34.0,12.0,89
34.0,13.0,174
34.0,14.0,117
34.0,15.0,59
34.0,22.0,15
34.0,23.0,33
34.0,24.0,88
34.0,25.0,104
34.0,26.0,200
34.0,27.0,458
34.0,28.0,450
34.0,29.0,273
34.0,30.0,97
34.0,31.0,56
34.0,32.0,230
34.0,33.0,219
34.0,34.0,203
34.0,35.0,255
34.0,36.0,10
34.0,37.0,2
34.0,38.0,14
34.0,39.0,78
34.0,40.0,3
34.0,41.0,1
35.0,2.0,4
35.0,3.0,4
35.0,4.0,5
35.0,5.0,20
35.0,6.0,26
35.0,8.0,9
35.0,9.0,5
35.0,10.0,12
35.0,11.0,5
35.0,12.0,105
35.0,13.0,73
35.0,14.0,437
35.0,15.0,213
35.0,16.0,90
35.0,17.0,56
35.0,18.0,31
35.0,19.0,6
35.0,20.0,2
35.0,21.0,12
35.0,22.0,3
35.0,24.0,3
35.0,25.0,13
35.0,26.0,30
35.0,27.0,188
35.0,28.0,128
35.0,29.0,228
35.0,30.0,481
35.0,31.0,547
35.0,32.0,256
35.0,33.0,97
35.0,34.0,128
35.0,35.0,1016
35.0,36.0,492
35.0,37.0,31
35.0,38.0,50
35.0,39.0,55
35.0,40.0,1
36.0,2.0,1
36.0,4.0,1
