,0,1
0,42.3808759354839,-71.0272379032258
1,42.3808637741935,-71.0272721612903
2,42.3808516129032,-71.0273064193548
3,42.3808272903226,-71.0273749354839
4,,
5,,
6,42.38073425,-71.0276530918712
7,42.3808623333333,-71.0277911111111
8,42.380919,-71.0278266666667
9,42.3809756666667,-71.0278622222222
10,42.3810323333333,-71.0278977777778
11,42.381089,-71.0279333333333
12,42.38110485,-71.0279065469398
13,42.38056385,-71.0275290448003
14,,
15,42.38065265,-71.0272056631534
16,42.38068935,-71.0271219556437
17,42.3807026129032,-71.0272104193548
18,42.38074905,-71.02697875
19,42.3807704,-71.0268665442326
20,42.378856,-71.032359
21,42.378856,-71.032359
22,42.38128,-71.026395
23,42.3805016470588,-71.0265902352941
24,,
25,,
26,42.380499,-71.026593
27,42.380365,-71.026745
28,,
29,42.3803427262354,-71.0267719357153
30,42.3803315893531,-71.026785403573
31,42.3803204524708,-71.0267988714306
32,42.38006125,-71.027218
33,42.3800578333333,-71.0272286666667
34,,
35,42.380051,-71.02725
36,42.3804550526316,-71.0275361052632
37,42.3804667105263,-71.0275434210526
38,42.3804783684211,-71.0275507368421
39,42.3805016842105,-71.0275653684211
40,42.378166,-71.028997
41,,
42,42.3782877777778,-71.0288507777778
43,,
44,42.3783486666667,-71.0287776666667
45,42.3783791111111,-71.0287411111111
46,,
47,42.37857195,-71.0284344984275
48,42.3786127,-71.0283409255236
49,,
50,42.3789423636364,-71.0278389090909
51,42.37873975,-71.02813025
52,42.3793790612245,-71.0271618163265
53,42.3788283,-71.0279576
54,42.3793955510204,-71.0271203469388
55,42.3794037959184,-71.0270996122449
56,,
57,42.3794285306122,-71.0270374081633
58,42.378788,-71.027554286281
59,42.37872915,-71.0276214
60,42.3786803333333,-71.027654
61,42.3786026,-71.0277444
62,42.3785637333333,-71.0277896
63,42.3781362,-71.0282868
64,42.3780584666667,-71.0283772
65,42.3779418666667,-71.0285128
66,42.377903,-71.028558
67,42.377903,-71.028558
68,42.3779648,-71.0286230970672
69,42.3804181818182,-71.0226690909091
70,42.3804369090909,-71.0226474545454
71,42.3804556363636,-71.0226258181818
72,42.3805118181818,-71.0225609090909
73,42.3805305454545,-71.0225392727273
74,42.380568,-71.022496
75,42.3806603,-71.0223089
76,42.38075232,-71.02229892
77,42.38075548,-71.02229588
78,,
79,,
80,,
81,,
82,,
83,,
84,42.3811757352941,-71.0226438823529
85,42.3807016,-71.0229408
86,42.380852,-71.022749
87,42.3808531923077,-71.0227461153846
88,42.380786,-71.0226812877412
89,,
90,,
91,42.3861213,-71.0214046189855
92,42.38094185,-71.0251186039602
93,42.38092305,-71.0252289
94,42.3808746,-71.02530085
95,42.3805577419355,-71.0259807741936
96,42.3805009852941,-71.0265909264706
97,42.3805478709677,-71.0260063870968
98,42.38076855,-71.0255753354119
