,0
164,"(42.379399, -71.031172)"
165,"(42.379376, -71.0312325)"
166,"(42.379284, -71.0314745)"
167,"(42.37931515, -71.031586718663)"
168,"(42.37926105, -71.0316752582376)"
169,"(42.379192, -71.0317165)"
170,"(42.37925345, -71.0318202781993)"
171,"(42.3792043, -71.0319353772025)"
172,"(42.379123, -71.031898)"
173,"(42.379077, -71.032019)"
174,"(42.379054, -71.0320795)"
175,"(42.379031, -71.03214)"
176,"(42.379008, -71.0322005)"
177,"(42.378875, -71.032557)"
178,"(42.3791347, -71.0323767855614)"
179,"(42.3791909, -71.0324148347234)"
180,"(42.3792756666667, -71.0325166666667)"
181,"(42.37930975, -71.0325395)"
182,"(42.37861155, -71.0293681752472)"
183,"(42.23340585, -71.1343544394379)"
184,"(42.3787587272727, -71.0294976363636)"
185,"(42.3788318181818, -71.0295470909091)"
186,
187,"(42.378922, -71.029919)"
188,"(42.3790506953105, -71.0295768017867)"
189,"(42.3790840859315, -71.0294884053601)"
190,"(42.37906295, -71.0293669188328)"
191,"(42.37908765, -71.0292773129576)"
192,"(42.379134171863, -71.0293558107201)"
193,"(42.3791635, -71.0290373897561)"
194,"(42.3792082, -71.0289497930466)"
195,"(42.3792343437261, -71.0290906214402)"
196,
197,
198,
199,
