zipcode,light_density
02108,0.8005967753310521
02109,0.7385069773200306
02110,0.7674889068730018
02111,0.816495282174279
02113,0.9046435591305528
02114,0.6991764355513952
02115,0.7146064531602528
02116,0.6565851463055634
02118,0.7288999865794336
02119,0.6847597740969789
02120,0.7830845452224167
02121,0.6407326088748726
02122,0.5486102081019837
02124,0.5685776635314201
02125,0.2733924440669984
02126,0.5984268564994454
02127,0.644977502734262
02128,0.5256160811642326
02129,0.6789407791261824
02130,0.5292225781007307
02131,0.5296981860779681
02132,0.4863571145898651
02134,0.5828930747285929
02135,0.5745571799349198
02136,0.43784853067139023
02151,0.0
02152,0.5537882613861541
02163,0.7837283740904284
02199,1.0
02203,0.8940475017463096
02210,0.6315942236977405
