Zipcode,Population density (per square mile of land area)
2493,669.3
2494,3236.4
2532,890.4
2534,368.3
2535,48.3
2536,707.4
2537,520.2
2538,791.8
2539,151.7
2540,767.4
2542,37.1
2543,63.9
2553,920.1
2554,251.8
2556,804
2557,623.3
2558,1754.2
2559,670.8
2561,877
2562,889
2563,784.6
2564,53.7
2568,599.5
2571,526.6
2575,109
2576,384.6
2584,133.6
2601,1639.8
2630,461.3
2631,440.5
2632,1467.3
2633,514.2
2635,596.4
2637,361.8
2638,543.4
2639,1039.2
2641,260.6
2642,355.8
2643,13.7
2644,1110.3
2645,580.5
2646,556.6
2647,272.3
2648,787
2649,602.5
2650,586.5
2651,228.2
2652,146.9
2653,490.9
2655,538.8
2657,304.2
2659,541.6
2660,812.2
2663,122.5
2664,1351
2666,65.1
2667,138.5
2668,217.4
2669,318.9
2670,626
2671,508
2672,364.2
2673,841.2
2675,728.4
2702,245.6
2703,1625.8
2713,10.3
2715,272.7
2717,268.4
2718,643.3
2719,1286.8
2720,2786.1
2721,6424.5
2723,9245.5
2724,9102.2
2725,1108.6
2726,2810.8
2738,350.7
2739,348.4
2740,7578.9
2743,559.3
2744,9220.5
2745,2379.6
2746,7250.6
2747,469.8
2748,508.7
2760,1487.9
2762,751.5
2763,2187
2764,376.5
2766,684.3
2767,569.8
2769,247.3
2770,158.3
2771,746.4
2777,698.7
2779,388.2
2780,1484.3
2790,292.7
2791,233.5
2861,11095.4
