ZIPCODE,LAND_VAL
02090,25.37567504108946
02108,779.1395233331712
02109,516.5242964857908
02110,650.7175438616582
02111,297.43615339720776
02113,335.0124646791031
02114,581.8827421171961
02115,333.3614354790615
02116,480.4638014892537
02118,260.9054778180209
02119,36.813617614615566
02120,105.37816398620959
02121,31.260814914057196
02122,34.318378613012825
02124,31.015854560044154
02125,39.37803626182693
02126,24.69332228394794
02127,109.6077526723893
02128,59.185114209172426
02129,165.24973777655984
02130,46.71120121565768
02131,28.739445371550765
02132,27.95149054714424
02134,63.55478322074623
02135,46.78040780488331
02136,21.07350673403725
02186,4.302716049382716
02199,189.33304983177885
02201,20.289747399702822
02210,390.7096028146342
02215,220.8302205876358
02445,85.69543022091754
02446,54.9351321901785
02467,25.000134450455487
