ZIPCODE,BLDG_VAL
02090,62.35799390412857
02108,8185.301729188343
02109,6001.500969271838
02110,8151.292213918567
02111,62047.0758006165
02113,1501.1511875116194
02114,3362.7233691374413
02115,8464.86398278871
02116,14799.401260239605
02118,5490.16935804632
02119,4156.595899378441
02120,3738.8596535885044
02121,1040.9840961403406
02122,121.16977811799609
02124,1293.2300348978954
02125,164.42330908477177
02126,3322.7185394300077
02127,10385.58753470393
02128,2009.3176055943234
02129,278.3775101915721
02130,1409.2454820303735
02131,271.8533656182899
02132,97.05595936599921
02134,2250.588502644263
02135,1135.6418127681031
02136,455.64444701042703
02186,21.329519450800916
02199,560.4326834702033
02201,603.7713379031961
02210,127571.17210950993
02215,53859.29301353799
02445,80.84088450655159
02446,94.06507829391717
02467,147.35023968921348
